Name	Mean Depth	Sites genotyped (Millions)	Cleaned reads (Millions)
E_latirostris__BDI_Kibira__FMNH346297	11.6803	931	97
E_latirostris__BDI_Kibira__FMNH357966	9.14084	803	77
E_latirostris__CAF_Dzanga__FMNH429442	8.51712	671	71
E_latirostris__CAF_Dzanga__FMNH429445	6.75951	461	62
E_latirostris__CAF_Dzanga__FMNH429448	10.0375	821	86
E_latirostris__CMR_Nzimdipnenkum__FMNH511209	8.61607	744	73
E_latirostris__CMR_Nzimdipnenkum__FMNH511210	15.2098	991	137
E_latirostris__COD_Boende__FMNH490182	12.5373	937	107
E_latirostris__COD_Boende__FMNH490193	9.48008	826	76
E_latirostris__COD_Boende__FMNH490213	10.2141	832	88
E_latirostris__COD_Idjwi__FMNH429729	12.1002	934	100
E_latirostris__COD_KahuziBiega__FMNH481070	8.85641	707	78
E_latirostris__COD_KahuziBiega__FMNH481071	8.85121	704	91
E_latirostris__COD_KahuziBiega__FMNH481072	9.58493	792	83
E_latirostris__COD_Kangala__FMNH481083	11.2728	785	103
E_latirostris__COD_Kangala__FMNH481084	8.52917	693	72
E_latirostris__COD_Kangala__FMNH481085	9.60468	798	84
E_latirostris__COD_Luki__FMNH490024	15.3061	1009	132
E_latirostris__COD_Luki__FMNH490025	10.0953	809	95
E_latirostris__COD_Luki__FMNH490026	12.0594	929	109
E_latirostris__COD_Tschambi__FMNH473401	6.99012	599	58
E_latirostris__COD_Tschambi__FMNH473402	9.42964	788	80
E_latirostris__GAB_Doussala__FMNH389319	9.875	783	91
E_latirostris__GAB_Doussala__FMNH396330	8.40177	681	80
E_latirostris__GAB_Doussala__FMNH396331	9.14169	752	84
E_latirostris__GHA_AssinFoso__FMNH396575	7.04561	514	61
E_latirostris__GHA_AssinFoso__FMNH396576	10.122	781	94
E_latirostris__GNQ_Moka__KU32866	8.24595	702	70
E_latirostris__GNQ_Moka__KU32908	10.8816	877	95
E_latirostris__GNQ_Moka__KU32961	10.6289	889	91
E_latirostris__GNQ_MonteAlen__KU8325	11.2741	908	99
E_latirostris__GNQ_MonteAlen__KU8326	9.76703	827	84
E_latirostris__GNQ_MonteAlen__KU8332	9.39835	791	79
E_latirostris__SLE_KambuiHills__KU19685	9.23492	763	80
E_latirostris__SLE_KambuiHills__KU19697	8.72456	710	82
E_latirostris__SLE_KambuiHills__KU19776	9.71632	817	84
E_latirostris__UGA_AgoroAgu__FMNH489311	7.81945	667	66
E_latirostris__UGA_AgoroAgu__FMNH489312	9.55973	799	82
E_latirostris__UGA_AgoroAgu__FMNH489313	4.51395	0	33
E_latirostris__UGA_Echuya__FMNH384894	7.03255	542	60
E_latirostris__UGA_Echuya__FMNH384895	6.81625	520	57
E_latirostris__UGA_Echuya__FMNH384896	11.8183	864	107
E_latirostris__UGA_Nteko__FMNH384909	12.2466	896	109
E_latirostris__UGA_Nteko__FMNH384910	9.13262	699	79
E_latirostris__UGA_Nteko__FMNH384911	10.3633	832	89
E_latirostris__UGA_Rwenzori__FMNH355307	9.85033	826	85
E_latirostris__UGA_Rwenzori__FMNH355308	12.9251	937	113
E_latirostris__UGA_Rwenzori__FMNH355309	10.7791	877	90
E_latirostris__UGA_Rwenzori__FMNH355310	10.5836	863	94
E_latirostris__UGA_Rwenzori__FMNH355311	12.2401	930	103
E_virens__CMR_Nzimdipnenkum__FMNH511205	12.8113	934	108
E_virens__COD_Uma__FMNH501571	15.0838	983	133
