lon,lat,Site
29.56,-3.19,8BDI_Kibira
29.38,-3,8BDI_Kibira
29.03,-2,5COD_Idjwi
28.74,-2.32,6COD_KahuziBiega
28.74,-2.32,6COD_KahuziBiega
28.74,-2.32,6COD_KahuziBiega
28.9,-2.98,7COD_Kangala
28.9,-2.98,7COD_Kangala
28.9,-2.98,7COD_Kangala
32.92,3.81,1UGA_AgoroAgu
32.92,3.81,1UGA_AgoroAgu
29.78,-1.23,4UGA_Echuya
29.78,-1.23,4UGA_Echuya
29.78,-1.23,4UGA_Echuya
29.62,-1.03,3UGA_Nteko
29.62,-1.03,3UGA_Nteko
29.62,-1.03,3UGA_Nteko
30.03,0.39,2UGA_Rwenzori
30.03,0.39,2UGA_Rwenzori
30.03,0.39,2UGA_Rwenzori
30.03,0.39,2UGA_Rwenzori
30.03,0.39,2UGA_Rwenzori
25.22,-2.68,Central
,,
